"event.id","NClicks","NWhistle","NCep","TS"
"1641224",2605,265,227,3097
"1641116",15775,4078,578,20431
"1641098",9440,3193,300,12933
"1641083",4173,697,132,5002
"1641071",9691,2756,1254,13701
"1604010",11950,2385,2023,16358
"1502032",11128,2643,500,14271
"1502026",591,349,246,1186
"1303088",2812,270,731,3813
"1303039",1725,41,1764,3530
"1203186",8871,1031,276,10178
"1108038",8327,3830,484,12641
"1108009",1831,750,0,2581
